요양기관명,종별코드명,시도코드명,시군구코드명,주소,개설일자
(사)경찰공제회 강서적성의원,의원,서울,강서구,"서울특별시 강서구 남부순환로 171, 강서운전면허시험장만남의광장 적성검사소호 (외발산동)",2019-12-30
(사)인구보건복지협회 서울지회 가족보건의원,의원,서울,광진구,"서울특별시 광진구 긴고랑로13길 62, 1층, 2층 (중곡동)",2006-06-23
(사)한국건강관리협회 중앙검사본부 중앙검사의원,의원,서울,강서구,"서울특별시 강서구 화곡로 372, ND타워 지4,지1, 1~4층 (등촌동)",2015-11-04
(사)한국뇌전증협회로빈슨기념의원,의원,서울,중구,"서울특별시 중구 만리재로 177, 지하1층 11호,12호호 (만리동2가)",2016-05-20
(사)한국한센복지협회서울특별시지부부설의원,의원,서울,동작구,"서울특별시 동작구 상도로 170, 2층 (상도동)",1986-01-09
(스카이메디)연세건강증진내과의원,의원,서울,송파구,"서울특별시 송파구 송파대로 371, 2층,3층,4층 (석촌동)",1982-04-27
(의) 열린의료재단 강동열린의원,의원,서울,강동구,"서울특별시 강동구 천호대로 1092, 1층 112호,113호 (성내동, SK허브진)",2001-02-28
(의) 열린의료재단 동대문열린의원,의원,서울,종로구,"서울특별시 종로구 종로 335, 원풍빌딩 6층 (창신동)",2008-06-10
(의) 열린의료재단 상봉열린의원,의원,서울,중랑구,"서울특별시 중랑구 면목로 492, 주연빌딩 7,8 일부층 (상봉동)",2004-03-08
(의) 열린의료재단 서초열린의원,의원,서울,서초구,"서울특별시 서초구 서초대로 320, 하림인터내셔날빌딩 3층 (서초동)",2011-03-24
(의) 열린의료재단 연신내열린의원,의원,서울,은평구,"서울특별시 은평구 통일로 861, 범일빌딩 6층 (갈현동)",2011-05-11
(의) 열린의료재단 영등포열린의원,의원,서울,영등포구,"서울특별시 영등포구 경인로 841, 영등포우체국 4,5층 (영등포동4가)",2001-09-01
(의) 열린의료재단 은평열린의원,의원,서울,은평구,"서울특별시 은평구 서오릉로 145, 상원빌딩 4층 (구산동)",2004-12-01
(의) 열린의료재단 혜화열린의원,의원,서울,성북구,"서울특별시 성북구 동소문로 125, 5~6층 (동선동4가)",2006-02-21
(의)가산의료재단 광동병원,병원,서울,강남구,"서울특별시 강남구 봉은사로 612, (삼성동)",1994-04-25
(의)미래의료재단리드림의원,의원,서울,강남구,"서울특별시 강남구 테헤란로 513, (삼성동, B1일부,4,9,10층,테헤란로81길10,B1일부,삼성로92길29,3,4)",2000-07-12
(의)미래의료재단미래치과의원,치과의원,서울,강남구,"서울특별시 강남구 테헤란로 513, (삼성동, 지하1층일부)",2003-08-21
(의)성광의료재단 차여성의원,의원,서울,중구,"서울특별시 중구 한강대로 416, 서울스퀘어 2층 (남대문로5가)",2015-11-09
(의)성광의료재단 차움의원,의원,서울,강남구,"서울특별시 강남구 도산대로 442, 피엔폴루스 2층일부, 3층일부 (청담동)",2010-05-20
(의)성광의료재단 차움한의원,한의원,서울,강남구,"서울특별시 강남구 도산대로 442, (청담동, 2층일부)",2010-07-12
(의)성광의료재단차움건진의원,의원,서울,강남구,"서울특별시 강남구 테헤란로 509, 지하2층,지하1층일부,2층 (삼성동)",2004-04-01
(의)수지의료재단 용인수지병원,병원,경기,용인수지구,"경기도 용인시 수지구 풍덕천로22번길 15, 지하1,지상2~6층 (풍덕천동)",2016-12-12
(의)열린의료재단 강남열린의원,의원,서울,강남구,"서울특별시 강남구 언주로 123, 3층 (도곡동, 개포한신아파트)",2002-05-22
(의)열린의료재단 구로열린의원,의원,서울,구로구,"서울특별시 구로구 구로중앙로 68, 208, 209, 210호 (구로동, 신안타워)",2011-11-16
(의)열린의료재단 미아열린의원,의원,서울,강북구,"서울특별시 강북구 도봉로 213, 하당빌딩 3,4층 (미아동)",2003-06-13
(의)열린의료재단 예인의원,의원,서울,강서구,"서울특별시 강서구 양천로 366, 5,6층 (가양동, 미라클빌딩)",2008-03-04
(의)영문의료재단 다보스병원,종합병원,경기,용인처인구,"경기도 용인시 처인구 백옥대로1082번길 18, 다보스종합병원 (김량장동)",2008-12-24
(의)유일재단 하나애병원,병원,경기,용인처인구,"경기도 용인시 처인구 백옥대로916번길 48, (남동)",2008-04-23
(의)케이씨엘의료재단 한국의원,의원,서울,강동구,"서울특별시 강동구 성내로 71, 케이씨엘빌딩 2,3층 (성내동)",2008-12-01
(의)현당의료재단 늘봄요양병원,요양병원,경기,용인수지구,"경기도 용인시 수지구 포은대로59번길 17, 광교복합의료센터,지하1층,1층일부,2층~4층,6층 (상현동)",2018-04-25
(의)효심의료재단 용인서울병원,병원,경기,용인처인구,"경기도 용인시 처인구 고림로 81, (고림동)",2002-06-12
(재)원불교서울보화당한의원,한의원,서울,종로구,"서울특별시 종로구 종로 237, (종로5가, 서울보화당)",1995-11-23
(재)이랜드재단 이랜드의원,의원,서울,금천구,"서울특별시 금천구 가산디지털1로 186, 제이플라츠 401~402호 (가산동)",2008-01-17
